año,mes,month,fecha,homicidios_dolosos_nac,pob_mit_nac,tasa_nac
2018,enero,A,2018-01-31,211,63958933,0.330
2018,febrero,B,2018-02-28,197,63958933,0.308
2018,marzo,C,2018-03-31,236,63958933,0.369
2018,abril,D,2018-04-30,217,63958933,0.339
2018,mayo,E,2018-05-31,248,63958933,0.388
2018,junio,F,2018-06-30,238,63958933,0.372
2018,julio,G,2018-07-31,222,63958933,0.347
2018,agosto,H,2018-08-31,247,63958933,0.386
2018,septiembre,I,2018-09-30,257,63958933,0.402
2018,octubre,J,2018-10-31,220,63958933,0.344
2018,noviembre,K,2018-11-30,218,63958933,0.341
2018,diciembre,L,2018-12-31,259,63958933,0.405
2019,enero,A,2019-01-31,229,64600059,0.354
2019,febrero,B,2019-02-28,204,64600059,0.316
2019,marzo,C,2019-03-31,217,64600059,0.336
2019,abril,D,2019-04-30,234,64600059,0.362
2019,mayo,E,2019-05-31,243,64600059,0.376
2019,junio,F,2019-06-30,225,64600059,0.348
2019,julio,G,2019-07-31,235,64600059,0.364
2019,agosto,H,2019-08-31,248,64600059,0.384
2019,septiembre,I,2019-09-30,256,64600059,0.396
2019,octubre,J,2019-10-31,224,64600059,0.347
2019,noviembre,K,2019-11-30,250,64600059,0.387
2019,diciembre,L,2019-12-31,257,64600059,0.398
2020,enero,A,2020-01-31,247,65224660,0.379
2020,febrero,B,2020-02-29,219,65224660,0.336
2020,marzo,C,2020-03-31,254,65224660,0.389
2020,abril,D,2020-04-30,267,65224660,0.409
